2026-04-30 19:09:07,823 - Suspicious traffic detected! | pps: 9.00 | avg_size: 1693.22 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:09:12,842 - Suspicious traffic detected! | pps: 49.00 | avg_size: 120.51 | tcp_ratio: 0.96 | udp_ratio: 0.04
2026-04-30 19:09:35,781 - Suspicious traffic detected! | pps: 2.00 | avg_size: 54.00 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:09:57,416 - Suspicious traffic detected! | pps: 41.00 | avg_size: 60.78 | tcp_ratio: 0.95 | udp_ratio: 0.05
2026-04-30 19:10:27,189 - Suspicious traffic detected! | pps: 28.00 | avg_size: 63.89 | tcp_ratio: 0.93 | udp_ratio: 0.07
2026-04-30 19:10:45,099 - Suspicious traffic detected! | pps: 48.00 | avg_size: 169.69 | tcp_ratio: 0.92 | udp_ratio: 0.08
2026-04-30 19:10:57,263 - Suspicious traffic detected! | pps: 59.00 | avg_size: 2673.58 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:10:58,600 - Suspicious traffic detected! | pps: 2.00 | avg_size: 54.00 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:11:09,826 - Suspicious traffic detected! | pps: 64.00 | avg_size: 2651.86 | tcp_ratio: 0.94 | udp_ratio: 0.06
2026-04-30 19:11:11,707 - Suspicious traffic detected! | pps: 78.00 | avg_size: 1151.65 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:11:18,078 - Suspicious traffic detected! | pps: 119.00 | avg_size: 1337.86 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:11:19,088 - Suspicious traffic detected! | pps: 98.00 | avg_size: 1386.26 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:11:27,559 - Suspicious traffic detected! | pps: 31.00 | avg_size: 65.10 | tcp_ratio: 0.94 | udp_ratio: 0.06
2026-04-30 19:12:14,830 - Suspicious traffic detected! | pps: 75.00 | avg_size: 2220.32 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:12:23,788 - Suspicious traffic detected! | pps: 216.00 | avg_size: 1257.66 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:12:26,826 - Suspicious traffic detected! | pps: 85.00 | avg_size: 1106.93 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:12:59,131 - Suspicious traffic detected! | pps: 313.00 | avg_size: 1178.31 | tcp_ratio: 0.99 | udp_ratio: 0.01
2026-04-30 19:13:03,567 - Suspicious traffic detected! | pps: 85.00 | avg_size: 1108.12 | tcp_ratio: 0.98 | udp_ratio: 0.02
2026-04-30 19:16:40,397 - Suspicious traffic detected! | pps: 59.00 | avg_size: 641.92 | tcp_ratio: 0.95 | udp_ratio: 0.05
